  DAB [m^2/s]     DBA [m^2/s]    Temperature [K]
  2.099740E-09   4.288551E-10   2.940000E+02
  2.124777E-09   4.367227E-10   2.947900E+02
  2.149993E-09   4.446948E-10   2.955800E+02
  2.175385E-09   4.527719E-10   2.963700E+02
  2.200957E-09   4.609547E-10   2.971600E+02
  2.226706E-09   4.692443E-10   2.979500E+02
  2.252634E-09   4.776413E-10   2.987401E+02
  2.278741E-09   4.861464E-10   2.995301E+02
  2.305026E-09   4.947605E-10   3.003201E+02
  2.331489E-09   5.034841E-10   3.011101E+02
  2.358134E-09   5.123185E-10   3.019001E+02
  2.384956E-09   5.212638E-10   3.026901E+02
  2.411958E-09   5.303213E-10   3.034801E+02
  2.439140E-09   5.394915E-10   3.042701E+02
  2.466501E-09   5.487754E-10   3.050601E+02
  2.494043E-09   5.581732E-10   3.058501E+02
  2.521765E-09   5.676865E-10   3.066401E+02
  2.549666E-09   5.773155E-10   3.074301E+02
  2.577748E-09   5.870608E-10   3.082202E+02
  2.606010E-09   5.969236E-10   3.090102E+02
  2.634452E-09   6.069046E-10   3.098002E+02
  2.663076E-09   6.170042E-10   3.105902E+02
  2.691880E-09   6.272237E-10   3.113802E+02
  2.720866E-09   6.375632E-10   3.121702E+02
  2.750032E-09   6.480239E-10   3.129602E+02
  2.779379E-09   6.586066E-10   3.137502E+02
  2.808906E-09   6.693118E-10   3.145402E+02
  2.838616E-09   6.801404E-10   3.153302E+02
  2.868507E-09   6.910927E-10   3.161202E+02
  2.898579E-09   7.021702E-10   3.169102E+02
  2.928833E-09   7.133735E-10   3.177003E+02
  2.959268E-09   7.247026E-10   3.184903E+02
  2.989886E-09   7.361591E-10   3.192803E+02
  3.020684E-09   7.477429E-10   3.200703E+02
  3.051665E-09   7.594558E-10   3.208603E+02
  3.082828E-09   7.712974E-10   3.216503E+02
  3.114172E-09   7.832694E-10   3.224403E+02
  3.145698E-09   7.953719E-10   3.232303E+02
  3.177406E-09   8.076058E-10   3.240203E+02
  3.209297E-09   8.199718E-10   3.248103E+02
  3.241369E-09   8.324709E-10   3.256003E+02
  3.273624E-09   8.451032E-10   3.263904E+02
  3.306061E-09   8.578702E-10   3.271804E+02
  3.338679E-09   8.707723E-10   3.279704E+02
  3.371482E-09   8.838099E-10   3.287604E+02
  3.404464E-09   8.969839E-10   3.295504E+02
  3.437631E-09   9.102952E-10   3.303404E+02
  3.470979E-09   9.237443E-10   3.311304E+02
  3.504510E-09   9.373321E-10   3.319204E+02
  3.538223E-09   9.510590E-10   3.327104E+02
  3.572118E-09   9.649264E-10   3.335004E+02
  3.606196E-09   9.789339E-10   3.342904E+02
  3.640457E-09   9.930831E-10   3.350804E+02
  3.674898E-09   1.007374E-09   3.358705E+02
  3.709524E-09   1.021808E-09   3.366605E+02
  3.744331E-09   1.036386E-09   3.374505E+02
  3.779321E-09   1.051107E-09   3.382405E+02
  3.814493E-09   1.065974E-09   3.390305E+02
  3.849848E-09   1.080986E-09   3.398205E+02
  3.885384E-09   1.096144E-09   3.406105E+02
  3.921103E-09   1.111449E-09   3.414005E+02
  3.957005E-09   1.126901E-09   3.421905E+02
  3.993089E-09   1.142502E-09   3.429805E+02
  4.029355E-09   1.158252E-09   3.437705E+02
  4.065803E-09   1.174152E-09   3.445605E+02
  4.102434E-09   1.190201E-09   3.453506E+02
  4.139246E-09   1.206402E-09   3.461406E+02
  4.176241E-09   1.222754E-09   3.469306E+02
  4.213418E-09   1.239259E-09   3.477206E+02
  4.250776E-09   1.255916E-09   3.485106E+02
  4.288318E-09   1.272726E-09   3.493006E+02
  4.326040E-09   1.289691E-09   3.500906E+02
  4.363945E-09   1.306812E-09   3.508806E+02
  4.402032E-09   1.324087E-09   3.516706E+02
  4.440300E-09   1.341519E-09   3.524606E+02
  4.478751E-09   1.359107E-09   3.532506E+02
  4.517382E-09   1.376852E-09   3.540406E+02
  4.556195E-09   1.394756E-09   3.548307E+02
  4.595190E-09   1.412819E-09   3.556207E+02
  4.634367E-09   1.431041E-09   3.564107E+02
  4.673725E-09   1.449423E-09   3.572007E+02
  4.713264E-09   1.467965E-09   3.579907E+02
  4.752984E-09   1.486669E-09   3.587807E+02
  4.792885E-09   1.505534E-09   3.595707E+02
  4.832968E-09   1.524562E-09   3.603607E+02
  4.873232E-09   1.543753E-09   3.611507E+02
  4.913676E-09   1.563108E-09   3.619407E+02
  4.954302E-09   1.582627E-09   3.627307E+02
  4.995109E-09   1.602310E-09   3.635208E+02
  5.036095E-09   1.622159E-09   3.643108E+02
  5.077262E-09   1.642175E-09   3.651008E+02
  5.118611E-09   1.662357E-09   3.658908E+02
  5.160139E-09   1.682706E-09   3.666808E+02
  5.201847E-09   1.703224E-09   3.674708E+02
  5.243737E-09   1.723910E-09   3.682608E+02
  5.285805E-09   1.744764E-09   3.690508E+02
  5.328054E-09   1.765789E-09   3.698408E+02
  5.370483E-09   1.786984E-09   3.706308E+02
  5.413091E-09   1.808349E-09   3.714208E+02
  5.498800E-09   1.851572E-09   3.730000E+02
