  DAB [m^2/s]     DBA [m^2/s]    Temperature [K]
  1.944885E-09   4.630013E-10   2.940000E+02
  1.952597E-09   4.658203E-10   2.942633E+02
  1.960327E-09   4.686515E-10   2.945267E+02
  1.968076E-09   4.714953E-10   2.947900E+02
  1.975842E-09   4.743517E-10   2.950533E+02
  1.983627E-09   4.772208E-10   2.953167E+02
  1.991431E-09   4.801022E-10   2.955800E+02
  1.999253E-09   4.829964E-10   2.958434E+02
  2.007093E-09   4.859031E-10   2.961067E+02
  2.014951E-09   4.888224E-10   2.963700E+02
  2.022828E-09   4.917544E-10   2.966334E+02
  2.030724E-09   4.946992E-10   2.968967E+02
  2.038637E-09   4.976567E-10   2.971600E+02
  2.046569E-09   5.006272E-10   2.974234E+02
  2.054519E-09   5.036103E-10   2.976867E+02
  2.062487E-09   5.066063E-10   2.979500E+02
  2.070474E-09   5.096152E-10   2.982134E+02
  2.078479E-09   5.126371E-10   2.984767E+02
  2.086503E-09   5.156719E-10   2.987401E+02
  2.094545E-09   5.187196E-10   2.990034E+02
  2.102605E-09   5.217803E-10   2.992667E+02
  2.110684E-09   5.248543E-10   2.995301E+02
  2.118781E-09   5.279411E-10   2.997934E+02
  2.126897E-09   5.310412E-10   3.000567E+02
  2.135031E-09   5.341542E-10   3.003201E+02
  2.143183E-09   5.372803E-10   3.005834E+02
  2.151354E-09   5.404198E-10   3.008467E+02
  2.159543E-09   5.435725E-10   3.011101E+02
  2.167751E-09   5.467385E-10   3.013734E+02
  2.175977E-09   5.499176E-10   3.016367E+02
  2.184222E-09   5.531102E-10   3.019001E+02
  2.192485E-09   5.563158E-10   3.021634E+02
  2.200766E-09   5.595351E-10   3.024268E+02
  2.209066E-09   5.627678E-10   3.026901E+02
  2.217384E-09   5.660139E-10   3.029534E+02
  2.225721E-09   5.692734E-10   3.032168E+02
  2.234077E-09   5.725465E-10   3.034801E+02
  2.242451E-09   5.758329E-10   3.037434E+02
  2.250843E-09   5.791332E-10   3.040068E+02
  2.259254E-09   5.824468E-10   3.042701E+02
  2.267684E-09   5.857741E-10   3.045334E+02
  2.276131E-09   5.891152E-10   3.047968E+02
  2.284598E-09   5.924699E-10   3.050601E+02
  2.293083E-09   5.958380E-10   3.053235E+02
  2.301586E-09   5.992204E-10   3.055868E+02
  2.310108E-09   6.026159E-10   3.058501E+02
  2.318648E-09   6.060257E-10   3.061135E+02
  2.327208E-09   6.094491E-10   3.063768E+02
  2.335785E-09   6.128867E-10   3.066401E+02
  2.344381E-09   6.163380E-10   3.069035E+02
  2.352996E-09   6.198032E-10   3.071668E+02
  2.361629E-09   6.232824E-10   3.074301E+02
  2.370280E-09   6.267752E-10   3.076935E+02
  2.378951E-09   6.302823E-10   3.079568E+02
  2.387640E-09   6.338036E-10   3.082202E+02
  2.396347E-09   6.373388E-10   3.084835E+02
  2.405073E-09   6.408885E-10   3.087468E+02
  2.413818E-09   6.444518E-10   3.090102E+02
  2.422581E-09   6.480295E-10   3.092735E+02
  2.431362E-09   6.516214E-10   3.095368E+02
  2.440163E-09   6.552274E-10   3.098002E+02
  2.448982E-09   6.588478E-10   3.100635E+02
  2.457819E-09   6.624824E-10   3.103268E+02
  2.466675E-09   6.661312E-10   3.105902E+02
  2.475550E-09   6.697944E-10   3.108535E+02
  2.484443E-09   6.734722E-10   3.111169E+02
  2.493355E-09   6.771643E-10   3.113802E+02
  2.502285E-09   6.808709E-10   3.116435E+02
  2.511235E-09   6.845918E-10   3.119069E+02
  2.520202E-09   6.883271E-10   3.121702E+02
  2.529189E-09   6.920771E-10   3.124335E+02
  2.538194E-09   6.958418E-10   3.126969E+02
  2.547218E-09   6.996208E-10   3.129602E+02
  2.556260E-09   7.034148E-10   3.132235E+02
  2.565321E-09   7.072231E-10   3.134869E+02
  2.574400E-09   7.110459E-10   3.137502E+02
  2.583499E-09   7.148837E-10   3.140135E+02
  2.592615E-09   7.187365E-10   3.142769E+02
  2.601750E-09   7.226036E-10   3.145402E+02
  2.610905E-09   7.264855E-10   3.148036E+02
  2.620078E-09   7.303827E-10   3.150669E+02
  2.629269E-09   7.342944E-10   3.153302E+02
  2.638479E-09   7.382211E-10   3.155936E+02
  2.647708E-09   7.421626E-10   3.158569E+02
  2.656956E-09   7.461188E-10   3.161202E+02
  2.666222E-09   7.500903E-10   3.163836E+02
  2.675506E-09   7.540770E-10   3.166469E+02
  2.684810E-09   7.580783E-10   3.169102E+02
  2.694132E-09   7.620951E-10   3.171736E+02
  2.703473E-09   7.661265E-10   3.174369E+02
